epoch=178 gen_loss=0.4844 critic_loss=-15.8281 gp=0.3969
epoch=179 gen_loss=0.4549 critic_loss=-15.9198 gp=0.4006
epoch=180 gen_loss=0.2438 critic_loss=-15.8156 gp=0.3940
epoch=181 gen_loss=0.3467 critic_loss=-15.9423 gp=0.3987
epoch=182 gen_loss=0.5260 critic_loss=-15.9705 gp=0.3983
epoch=183 gen_loss=0.1690 critic_loss=-15.9489 gp=0.4003
epoch=184 gen_loss=0.4111 critic_loss=-16.0607 gp=0.4078
epoch=185 gen_loss=0.4431 critic_loss=-16.0855 gp=0.4036
epoch=186 gen_loss=0.2138 critic_loss=-16.2079 gp=0.4043
epoch=187 gen_loss=0.3773 critic_loss=-16.1033 gp=0.4062
epoch=188 gen_loss=0.4259 critic_loss=-16.0750 gp=0.4041
epoch=189 gen_loss=0.2157 critic_loss=-16.2287 gp=0.4047
epoch=190 gen_loss=0.3178 critic_loss=-16.1771 gp=0.4120
epoch=191 gen_loss=0.3177 critic_loss=-16.2398 gp=0.4134
epoch=192 gen_loss=0.2099 critic_loss=-16.3037 gp=0.4129
epoch=193 gen_loss=0.1788 critic_loss=-16.2853 gp=0.4101
epoch=194 gen_loss=0.3834 critic_loss=-16.3155 gp=0.4148
epoch=195 gen_loss=0.2025 critic_loss=-16.2866 gp=0.4153
epoch=196 gen_loss=0.6030 critic_loss=-16.4837 gp=0.4195
epoch=197 gen_loss=0.0617 critic_loss=-16.5846 gp=0.4256
epoch=198 gen_loss=0.4973 critic_loss=-16.4355 gp=0.4199
epoch=199 gen_loss=0.6639 critic_loss=-16.3873 gp=0.4201
epoch=200 gen_loss=0.1409 critic_loss=-16.5151 gp=0.4233
epoch=201 gen_loss=0.1678 critic_loss=-16.5570 gp=0.4203
epoch=202 gen_loss=-0.1192 critic_loss=-16.6496 gp=0.4257
epoch=203 gen_loss=0.8797 critic_loss=-16.7348 gp=0.4278
epoch=204 gen_loss=0.2120 critic_loss=-16.7469 gp=0.4369
epoch=205 gen_loss=0.2114 critic_loss=-16.7279 gp=0.4303
epoch=206 gen_loss=0.6431 critic_loss=-16.6466 gp=0.4283
epoch=207 gen_loss=0.2534 critic_loss=-16.8316 gp=0.4374
epoch=208 gen_loss=0.2275 critic_loss=-16.7377 gp=0.4273
epoch=209 gen_loss=0.2922 critic_loss=-16.8896 gp=0.4378
epoch=210 gen_loss=0.5778 critic_loss=-16.9124 gp=0.4353
epoch=211 gen_loss=0.0726 critic_loss=-16.9075 gp=0.4366
epoch=212 gen_loss=0.2754 critic_loss=-16.9848 gp=0.4400
epoch=213 gen_loss=0.3363 critic_loss=-16.9922 gp=0.4379
epoch=214 gen_loss=0.4220 critic_loss=-16.9898 gp=0.4420
epoch=215 gen_loss=0.2587 critic_loss=-17.0567 gp=0.4463
epoch=216 gen_loss=0.0858 critic_loss=-17.0865 gp=0.4430
epoch=217 gen_loss=0.6379 critic_loss=-17.0024 gp=0.4366
epoch=218 gen_loss=0.2601 critic_loss=-17.0464 gp=0.4470
epoch=219 gen_loss=0.3059 critic_loss=-17.1356 gp=0.4465
epoch=220 gen_loss=0.2398 critic_loss=-17.1542 gp=0.4480
epoch=221 gen_loss=0.4089 critic_loss=-17.2347 gp=0.4507
epoch=222 gen_loss=0.0611 critic_loss=-17.3333 gp=0.4548
epoch=223 gen_loss=0.2679 critic_loss=-17.3770 gp=0.4597
epoch=224 gen_loss=0.5296 critic_loss=-17.4330 gp=0.4592
epoch=225 gen_loss=0.0462 critic_loss=-17.3353 gp=0.4581
epoch=226 gen_loss=0.3143 critic_loss=-17.5064 gp=0.4577
epoch=227 gen_loss=0.6095 critic_loss=-17.3463 gp=0.4566
epoch=228 gen_loss=0.0484 critic_loss=-17.4986 gp=0.4618
epoch=229 gen_loss=0.4360 critic_loss=-17.5617 gp=0.4620
epoch=230 gen_loss=0.1496 critic_loss=-17.5203 gp=0.4615
epoch=231 gen_loss=0.2786 critic_loss=-17.4208 gp=0.4612
epoch=232 gen_loss=0.2036 critic_loss=-17.6131 gp=0.4647
epoch=233 gen_loss=0.7186 critic_loss=-17.5192 gp=0.4620
epoch=234 gen_loss=-0.1059 critic_loss=-17.7218 gp=0.4737
epoch=235 gen_loss=0.2787 critic_loss=-17.5768 gp=0.4664
epoch=236 gen_loss=0.1897 critic_loss=-17.6071 gp=0.4621
epoch=237 gen_loss=0.0727 critic_loss=-17.9068 gp=0.4860
epoch=238 gen_loss=0.4406 critic_loss=-17.6990 gp=0.4664
epoch=239 gen_loss=0.4809 critic_loss=-17.8032 gp=0.4726
epoch=240 gen_loss=0.4178 critic_loss=-17.8253 gp=0.4758
epoch=241 gen_loss=0.0856 critic_loss=-17.8398 gp=0.4745
epoch=242 gen_loss=0.3228 critic_loss=-17.9869 gp=0.4818
epoch=243 gen_loss=0.4443 critic_loss=-17.9589 gp=0.4812
epoch=244 gen_loss=0.0647 critic_loss=-17.8558 gp=0.4807
epoch=245 gen_loss=0.2520 critic_loss=-17.9689 gp=0.4821
epoch=246 gen_loss=0.3904 critic_loss=-17.9072 gp=0.4780
epoch=247 gen_loss=0.2766 critic_loss=-18.0557 gp=0.4867
epoch=248 gen_loss=0.1616 critic_loss=-18.1566 gp=0.4887
epoch=249 gen_loss=0.2986 critic_loss=-18.0670 gp=0.4785
epoch=250 gen_loss=0.5539 critic_loss=-18.2224 gp=0.4965
epoch=251 gen_loss=-0.0609 critic_loss=-18.1386 gp=0.4863
epoch=252 gen_loss=0.3265 critic_loss=-18.2053 gp=0.4950
epoch=253 gen_loss=0.0345 critic_loss=-18.1423 gp=0.4894
epoch=254 gen_loss=0.1631 critic_loss=-18.2688 gp=0.4889
epoch=255 gen_loss=0.5743 critic_loss=-18.3409 gp=0.4988
epoch=256 gen_loss=0.0867 critic_loss=-18.3298 gp=0.4967
epoch=257 gen_loss=0.1211 critic_loss=-18.2408 gp=0.4958
epoch=258 gen_loss=0.2016 critic_loss=-18.4193 gp=0.4986
epoch=259 gen_loss=0.5839 critic_loss=-18.4981 gp=0.5029
epoch=260 gen_loss=0.1589 critic_loss=-18.0487 gp=0.4931
epoch=261 gen_loss=0.2953 critic_loss=-18.4841 gp=0.5029
